Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,5.405
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,1.613
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,3.041
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,American Samoa,ASM,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,AND,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,5.774
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,1.567
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2.301
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,1.602
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Aruba,ABW,1.972
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.814
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.49
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,1.94
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,1.576
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bahrain,BHR,2.131
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bangladesh,BGD,2.114
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Barbados,BRB,1.614
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.724
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belgium,BEL,1.7
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belize,BLZ,2.438
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Benin,BEN,5.319
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bermuda,BMU,1.4
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bhutan,BTN,1.957
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bolivia,BOL,2.886
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bosnia and Herzegovina,BIH,1.289
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Botswana,BWA,2.942
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brazil,BRA,1.777
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,British Virgin Islands,VGB,1.186
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brunei Darussalam,BRN,1.947
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bulgaria,BGR,1.53
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burkina Faso,BFA,5.478
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burundi,BDI,5.695
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cabo Verde,CPV,2.117
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cambodia,KHM,2.55
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cameroon,CMR,4.832
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Canada,CAN,1.6
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cayman Islands,CYM,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central African Republic,CAF,6.035
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chad,TCD,6.706
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Channel Islands,CHI,1.521
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chile,CHL,1.737
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,China,CHN,1.67
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Colombia,COL,1.863
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Comoros,COM,4.418
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Dem. Rep.",COD,6.437
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Rep.",COG,4.564
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Costa Rica,CRI,1.79
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cote d'Ivoire,CIV,4.813
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Croatia,HRV,1.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cuba,CUB,1.694
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Curacao,CUW,1.9
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cyprus,CYP,1.326
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Czechia,CZE,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Denmark,DNK,1.71
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Djibouti,DJI,3.066
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominica,DMA,1.694
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominican Republic,DOM,2.43
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ecuador,ECU,2.26
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Egypt, Arab Rep.",EGY,3.436
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,El Salvador,SLV,2.067
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Equatorial Guinea,GNQ,4.774
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eritrea,ERI,4.217
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Estonia,EST,1.58
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eswatini,SWZ,3.117
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ethiopia,ETH,4.531
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Faroe Islands,FRO,2.419
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fiji,FJI,2.642
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Finland,FIN,1.65
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,France,FRA,1.96
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,French Polynesia,PYF,1.905
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gabon,GAB,3.889
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Gambia, The",GMB,5.314
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Georgia,GEO,2.204
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Germany,DEU,1.5
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ghana,GHA,4.05
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gibraltar,GIB,2.186
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greece,GRC,1.33
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greenland,GRL,2.01
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Grenada,GRD,2.126
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guam,GUM,2.922
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guatemala,GTM,3.029
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea,GIN,5.022
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea-Bissau,GNB,4.671
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guyana,GUY,2.534
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Haiti,HTI,3.108
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Honduras,HND,2.581
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Hong Kong SAR, China",HKG,1.196
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Hungary,HUN,1.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iceland,ISL,1.8
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,2.287
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Indonesia,IDN,2.345
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Iran, Islamic Rep.",IRN,2.053
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iraq,IRQ,4.09
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ireland,IRL,1.85
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Isle of Man,IMN,1.711
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Israel,ISR,3.09
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Italy,ITA,1.35
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jamaica,JAM,1.588
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Japan,JPN,1.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jordan,JOR,3.175
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kazakhstan,KAZ,2.74
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kenya,KEN,3.8
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kiribati,KIR,3.53
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Dem. People's Rep.",PRK,1.884
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Rep.",KOR,1.239
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kosovo,XKX,1.751
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kuwait,KWT,2.16
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kyrgyz Republic,KGZ,3.2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lao PDR,LAO,2.766
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latvia,LVA,1.7
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lebanon,LBN,2.178
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lesotho,LSO,3.264
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liberia,LBR,4.523
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Libya,LBY,2.711
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liechtenstein,LIE,1.4
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,1.7
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Luxembourg,LUX,1.47
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Macao SAR, China",MAC,1.196
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Madagascar,MDG,4.183
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malawi,MWI,4.452
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malaysia,MYS,2.039
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Maldives,MDV,1.99
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mali,MLI,6.385
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malta,MLT,1.37
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Marshall Islands,MHL,3.063
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritania,MRT,4.813
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritius,MUS,1.36
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mexico,MEX,2.137
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Micronesia, Fed. Sts.",FSM,2.971
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Moldova,MDA,1.868
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Monaco,MCO,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mongolia,MNG,3.01
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Montenegro,MNE,1.74
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Morocco,MAR,2.531
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mozambique,MOZ,5.062
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Myanmar,MMR,2.248
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Namibia,NAM,3.604
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nauru,NRU,3.827
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nepal,NPL,2.25
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Netherlands,NLD,1.66
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Caledonia,NCL,2.08
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Zealand,NZL,1.99
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nicaragua,NIC,2.48
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Niger,NER,7.211
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,5.616
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North Macedonia,MKD,1.49
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Northern Mariana Islands,MNP,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Norway,NOR,1.72
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,2.959
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,3.904
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,2.21
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,2.564
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,3.558
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,2.645
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,2.338
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,2.951
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,1.32
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.31
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,1.3365
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Qatar,QAT,1.864
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Romania,ROU,1.62
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Russian Federation,RUS,1.777
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Rwanda,RWA,4.081
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Samoa,WSM,4.357
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,San Marino,SMR,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sao Tome and Principe,STP,4.387
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Saudi Arabia,SAU,2.637
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Senegal,SEN,4.781
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Serbia,SRB,1.46
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Seychelles,SYC,2.31
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sierra Leone,SLE,4.548
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Singapore,SGP,1.24
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sint Maarten (Dutch part),SXM,1.73
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovak Republic,SVK,1.4
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovenia,SVN,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Solomon Islands,SLB,4.356
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Somalia,SOM,6.978
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Africa,ZAF,2.359
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Sudan,SSD,4.937
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Spain,ESP,1.33
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sri Lanka,LKA,2.091
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Kitts and Nevis,KNA,1.643
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Lucia,LCA,1.473
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Martin (French part),MAF,2.558
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Vincent and the Grenadines,VCT,2.099
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sudan,SDN,4.898
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Suriname,SUR,2.494
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sweden,SWE,1.85
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Switzerland,CHE,1.54
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Syrian Arab Republic,SYR,3.049
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,3.459
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tanzania,TZA,5.088
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,1.469
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Timor-Leste,TLS,3.903
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Togo,TGO,4.594
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tonga,TON,3.562
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Trinidad and Tobago,TTO,1.682
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,2.251
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkiye,TUR,2.194
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,2.93
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turks and Caicos Islands,TCA,1.67
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tuvalu,TUV,3.217
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uganda,UGA,5.306
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.506
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Arab Emirates,ARE,1.486
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.8
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United States,USA,1.8435
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uruguay,URY,2.023
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,2.491
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vanuatu,VUT,4.006
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Venezuela, RB",VEN,2.34
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Viet Nam,VNM,1.951
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Virgin Islands (U.S.),VIR,2.11
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,West Bank and Gaza,PSE,4.046
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,4.322
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zambia,ZMB,4.793
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zimbabwe,ZWE,3.849
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,4.677617736
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,5.385059308
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,3.471038097
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2.1386125
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,1.462299899
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Early-demographic dividend,EAR,2.589374388
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific,EAS,1.830031815
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (excluding high income),EAP,1.874160654
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (IDA & IBRD countries),TEA,1.874049946
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Euro area,EMU,1.548176125
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia,ECS,1.775057716
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (excluding high income),ECA,2.156279024
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (IDA & IBRD countries),TEC,1.934959176
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,European Union,EUU,1.537301584
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fragile and conflict affected situations,FCS,4.642228206
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Heavily indebted poor countries (HIPC),HPC,5.032747102
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,High income,HIC,1.681577784
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IBRD only,IBD,2.100222943
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA & IBRD total,IBT,2.608548663
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA blend,IDB,4.392794726
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA only,IDX,4.121113595
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA total,IDA,4.210470687
